3,Russia
4,Norway
5,Finland
6,Sweden
7,Estonia
8,Latvia
9,Belarus
10,Lithuania
11,Ukrain
12,Poland
13,Slovakia
14,Czechia
15,Germany
16,Denmark
17,Netherlands
18,Belgium
19,Austria
20,Hungary
21,Romania
22,Moldova
23,Bulgaria
24,Serbia
25,"North Macedonia "
26,Greece
27,Turkey
28,France
29,Switzerland
30,Italy
31,Slovenia
32,Croatia
33,Albania
34,Montenegro
35,"Bosnia and Herzegovina "
36,Spain
37,Portugal
38,United Kingdom
39,Ireland
41,Luxembourg
42,Andorra
43,Monaco
44,San Marino
45,Vatican City
46,Malta
47,Cuprus
48,Iceland
49,Liechtenstein
50,Kosovo
